,Dual_dist,seed,Algorithm,naive_init,lr,epoch_num,momentum,best_obj,max_grid_obj,max_data_obj
30,bernoulli_1,0,SGD_with_Momentum,True,1e-05,10,0.1,-262.2874450683594,-311.9981204487481,-308.52709161259224
31,bernoulli_1,0,SGD_with_Momentum,True,0.0001,10,0.1,-267.13653564453125,-311.9981204487481,-308.52709161259224
32,bernoulli_1,0,SGD_with_Momentum,True,0.001,10,0.1,-279.4840087890625,-311.9981204487481,-308.52709161259224
33,bernoulli_1,0,SGD_with_Momentum,True,0.01,10,0.1,-261.59716796875,-311.9981204487481,-308.52709161259224
34,bernoulli_1,0,SGD_with_Momentum,True,0.1,10,0.1,-261.59716796875,-311.9981204487481,-308.52709161259224
35,bernoulli_1,0,SGD_with_Momentum,False,1e-05,10,0.1,-308.66558837890625,-311.9981204487481,-308.52709161259224
36,bernoulli_1,0,SGD_with_Momentum,False,0.0001,10,0.1,-309.5768127441406,-311.9981204487481,-308.52709161259224
37,bernoulli_1,0,SGD_with_Momentum,False,0.001,10,0.1,-308.5269470214844,-311.9981204487481,-308.52709161259224
38,bernoulli_1,0,SGD_with_Momentum,False,0.01,10,0.1,-308.5269470214844,-311.9981204487481,-308.52709161259224
39,bernoulli_1,0,SGD_with_Momentum,False,0.1,10,0.1,-308.5269470214844,-311.9981204487481,-308.52709161259224
40,bernoulli_1,0,Adagrad,True,1e-05,10,NA,-261.6938781738281,-311.9981204487481,-308.52709161259224
41,bernoulli_1,0,Adagrad,True,0.0001,10,NA,-262.5309753417969,-311.9981204487481,-308.52709161259224
42,bernoulli_1,0,Adagrad,True,0.001,10,NA,-268.79669189453125,-311.9981204487481,-308.52709161259224
43,bernoulli_1,0,Adagrad,True,0.01,10,NA,-282.4982604980469,-311.9981204487481,-308.52709161259224
44,bernoulli_1,0,Adagrad,True,0.1,10,NA,-261.59716796875,-311.9981204487481,-308.52709161259224
45,bernoulli_1,0,Adagrad,False,1e-05,10,NA,-308.5368957519531,-311.9981204487481,-308.52709161259224
46,bernoulli_1,0,Adagrad,False,0.0001,10,NA,-308.6533203125,-311.9981204487481,-308.52709161259224
47,bernoulli_1,0,Adagrad,False,0.001,10,NA,-309.00958251953125,-311.9981204487481,-308.52709161259224
48,bernoulli_1,0,Adagrad,False,0.01,10,NA,-311.9979248046875,-311.9981204487481,-308.52709161259224
49,bernoulli_1,0,Adagrad,False,0.1,10,NA,-308.52691650390625,-311.9981204487481,-308.52709161259224
50,bernoulli_1,0,Adam_sg,True,1e-05,10,NA,-265.76593017578125,-311.9981204487481,-308.52709161259224
51,bernoulli_1,0,Adam_sg,True,0.0001,10,NA,-279.2149963378906,-311.9981204487481,-308.52709161259224
52,bernoulli_1,0,Adam_sg,True,0.001,10,NA,-261.59716796875,-311.9981204487481,-308.52709161259224
53,bernoulli_1,0,Adam_sg,True,0.01,10,NA,-261.59716796875,-311.9981204487481,-308.52709161259224
54,bernoulli_1,0,Adam_sg,True,0.1,10,NA,-261.59716796875,-311.9981204487481,-308.52709161259224
55,bernoulli_1,0,Adam_sg,False,1e-05,10,NA,-309.47882080078125,-311.9981204487481,-308.52709161259224
56,bernoulli_1,0,Adam_sg,False,0.0001,10,NA,-310.2958068847656,-311.9981204487481,-308.52709161259224
57,bernoulli_1,0,Adam_sg,False,0.001,10,NA,-308.5269470214844,-311.9981204487481,-308.52709161259224
58,bernoulli_1,0,Adam_sg,False,0.01,10,NA,-308.5269470214844,-311.9981204487481,-308.52709161259224
59,bernoulli_1,0,Adam_sg,False,0.1,10,NA,-308.5269470214844,-311.9981204487481,-308.52709161259224
60,bernoulli_1,0,Adam_full_batch,True,1e-05,10,NA,-261.6217041015625,-311.9981204487481,-308.52709161259224
61,bernoulli_1,0,Adam_full_batch,True,0.0001,10,NA,-261.85089111328125,-311.9981204487481,-308.52709161259224
62,bernoulli_1,0,Adam_full_batch,True,0.001,10,NA,-264.018798828125,-311.9981204487481,-308.52709161259224
63,bernoulli_1,0,Adam_full_batch,True,0.01,10,NA,-276.7427673339844,-311.9981204487481,-308.52709161259224
64,bernoulli_1,0,Adam_full_batch,True,0.1,10,NA,-283.6424865722656,-311.9981204487481,-308.52709161259224
65,bernoulli_1,0,Adam_full_batch,False,1e-05,10,NA,-308.5372619628906,-311.9981204487481,-308.52709161259224
66,bernoulli_1,0,Adam_full_batch,False,0.0001,10,NA,-308.6272277832031,-311.9981204487481,-308.52709161259224
67,bernoulli_1,0,Adam_full_batch,False,0.001,10,NA,-309.43798828125,-311.9981204487481,-308.52709161259224
68,bernoulli_1,0,Adam_full_batch,False,0.01,10,NA,-312.0516357421875,-311.9981204487481,-308.52709161259224
69,bernoulli_1,0,Adam_full_batch,False,0.1,10,NA,-312.02490234375,-311.9981204487481,-308.52709161259224
70,bernoulli_1,0,GD_c_l_rate,True,1e-05,10,NA,-264.9063415527344,-311.9981204487481,-308.52709161259224
71,bernoulli_1,0,GD_c_l_rate,True,0.0001,10,NA,-277.91552734375,-311.9981204487481,-308.52709161259224
72,bernoulli_1,0,GD_c_l_rate,True,0.001,10,NA,-283.9497985839844,-311.9981204487481,-308.52709161259224
73,bernoulli_1,0,GD_c_l_rate,True,0.01,10,NA,-282.5483093261719,-311.9981204487481,-308.52709161259224
74,bernoulli_1,0,GD_c_l_rate,True,0.1,10,NA,-261.59716796875,-311.9981204487481,-308.52709161259224
75,bernoulli_1,0,GD_c_l_rate,False,1e-05,10,NA,-309.101318359375,-311.9981204487481,-308.52709161259224
76,bernoulli_1,0,GD_c_l_rate,False,0.0001,10,NA,-311.3385925292969,-311.9981204487481,-308.52709161259224
77,bernoulli_1,0,GD_c_l_rate,False,0.001,10,NA,-312.06134033203125,-311.9981204487481,-308.52709161259224
78,bernoulli_1,0,GD_c_l_rate,False,0.01,10,NA,-308.5269470214844,-311.9981204487481,-308.52709161259224
79,bernoulli_1,0,GD_c_l_rate,False,0.1,10,NA,-308.5269470214844,-311.9981204487481,-308.52709161259224
80,bernoulli_1,0,GD_scale_by_ep,True,1e-05,10,NA,-262.2915344238281,-311.9981204487481,-308.52709161259224
81,bernoulli_1,0,GD_scale_by_ep,True,0.0001,10,NA,-267.5323486328125,-311.9981204487481,-308.52709161259224
82,bernoulli_1,0,GD_scale_by_ep,True,0.001,10,NA,-283.1148376464844,-311.9981204487481,-308.52709161259224
83,bernoulli_1,0,GD_scale_by_ep,True,0.01,10,NA,-261.59716796875,-311.9981204487481,-308.52709161259224
84,bernoulli_1,0,GD_scale_by_ep,True,0.1,10,NA,-261.59716796875,-311.9981204487481,-308.52709161259224
85,bernoulli_1,0,GD_scale_by_ep,False,1e-05,10,NA,-308.6746520996094,-311.9981204487481,-308.52709161259224
86,bernoulli_1,0,GD_scale_by_ep,False,0.0001,10,NA,-309.765625,-311.9981204487481,-308.52709161259224
87,bernoulli_1,0,GD_scale_by_ep,False,0.001,10,NA,-311.9881896972656,-311.9981204487481,-308.52709161259224
88,bernoulli_1,0,GD_scale_by_ep,False,0.01,10,NA,-308.5269470214844,-311.9981204487481,-308.52709161259224
89,bernoulli_1,0,GD_scale_by_ep,False,0.1,10,NA,-308.5269470214844,-311.9981204487481,-308.52709161259224
90,bernoulli_1,0,SVRG,True,1e-05,10,NA,-262.12115478515625,-311.9981204487481,-308.52709161259224
91,bernoulli_1,0,SVRG,True,0.0001,10,NA,-266.3504943847656,-311.9981204487481,-308.52709161259224
92,bernoulli_1,0,SVRG,True,0.001,10,NA,-281.3078918457031,-311.9981204487481,-308.52709161259224
93,bernoulli_1,0,SVRG,True,0.01,10,NA,-261.59716796875,-311.9981204487481,-308.52709161259224
94,bernoulli_1,0,SVRG,True,0.1,10,NA,-261.59716796875,-311.9981204487481,-308.52709161259224
95,bernoulli_1,0,SVRG,False,1e-05,10,NA,-308.59674072265625,-311.9981204487481,-308.52709161259224
96,bernoulli_1,0,SVRG,False,0.0001,10,NA,-309.1138916015625,-311.9981204487481,-308.52709161259224
97,bernoulli_1,0,SVRG,False,0.001,10,NA,-311.2662048339844,-311.9981204487481,-308.52709161259224
98,bernoulli_1,0,SVRG,False,0.01,10,NA,-308.52691650390625,-311.9981204487481,-308.52709161259224
99,bernoulli_1,0,SVRG,False,0.1,10,NA,-308.52691650390625,-311.9981204487481,-308.52709161259224
100,bernoulli_1,1,SGD_c_l_rate,True,1e-05,10,NA,-263.8665466308594,-299.61147493096297,-296.16679168307303
101,bernoulli_1,1,SGD_c_l_rate,True,0.0001,10,NA,-273.5193176269531,-299.61147493096297,-296.16679168307303
102,bernoulli_1,1,SGD_c_l_rate,True,0.001,10,NA,-272.4512634277344,-299.61147493096297,-296.16679168307303
103,bernoulli_1,1,SGD_c_l_rate,True,0.01,10,NA,-261.0358581542969,-299.61147493096297,-296.16679168307303
104,bernoulli_1,1,SGD_c_l_rate,True,0.1,10,NA,-261.0358581542969,-299.61147493096297,-296.16679168307303
105,bernoulli_1,1,SGD_c_l_rate,False,1e-05,10,NA,-296.75030517578125,-299.61147493096297,-296.16679168307303
106,bernoulli_1,1,SGD_c_l_rate,False,0.0001,10,NA,-298.38897705078125,-299.61147493096297,-296.16679168307303
107,bernoulli_1,1,SGD_c_l_rate,False,0.001,10,NA,-296.166748046875,-299.61147493096297,-296.16679168307303
108,bernoulli_1,1,SGD_c_l_rate,False,0.01,10,NA,-296.166748046875,-299.61147493096297,-296.16679168307303
109,bernoulli_1,1,SGD_c_l_rate,False,0.1,10,NA,-296.166748046875,-299.61147493096297,-296.16679168307303
110,bernoulli_1,1,SGD_scale_by_ep,True,1e-05,10,NA,-261.578857421875,-299.61147493096297,-296.16679168307303
111,bernoulli_1,1,SGD_scale_by_ep,True,0.0001,10,NA,-265.3551330566406,-299.61147493096297,-296.16679168307303
112,bernoulli_1,1,SGD_scale_by_ep,True,0.001,10,NA,-273.6903076171875,-299.61147493096297,-296.16679168307303
113,bernoulli_1,1,SGD_scale_by_ep,True,0.01,10,NA,-261.0358581542969,-299.61147493096297,-296.16679168307303
114,bernoulli_1,1,SGD_scale_by_ep,True,0.1,10,NA,-261.0358581542969,-299.61147493096297,-296.16679168307303
115,bernoulli_1,1,SGD_scale_by_ep,False,1e-05,10,NA,-296.2950439453125,-299.61147493096297,-296.16679168307303
116,bernoulli_1,1,SGD_scale_by_ep,False,0.0001,10,NA,-297.140869140625,-299.61147493096297,-296.16679168307303
117,bernoulli_1,1,SGD_scale_by_ep,False,0.001,10,NA,-296.166748046875,-299.61147493096297,-296.16679168307303
118,bernoulli_1,1,SGD_scale_by_ep,False,0.01,10,NA,-296.166748046875,-299.61147493096297,-296.16679168307303
119,bernoulli_1,1,SGD_scale_by_ep,False,0.1,10,NA,-296.166748046875,-299.61147493096297,-296.16679168307303
120,bernoulli_1,1,SGD_adaptive,True,1e-05,10,NA,-261.08984375,-299.61147493096297,-296.16679168307303
121,bernoulli_1,1,SGD_adaptive,True,0.0001,10,NA,-261.5740661621094,-299.61147493096297,-296.16679168307303
122,bernoulli_1,1,SGD_adaptive,True,0.001,10,NA,-265.4437255859375,-299.61147493096297,-296.16679168307303
123,bernoulli_1,1,SGD_adaptive,True,0.01,10,NA,-275.2068176269531,-299.61147493096297,-296.16679168307303
124,bernoulli_1,1,SGD_adaptive,True,0.1,10,NA,-274.4414978027344,-299.61147493096297,-296.16679168307303
125,bernoulli_1,1,SGD_adaptive,False,1e-05,10,NA,-296.16827392578125,-299.61147493096297,-296.16679168307303
126,bernoulli_1,1,SGD_adaptive,False,0.0001,10,NA,-296.2120056152344,-299.61147493096297,-296.16679168307303
127,bernoulli_1,1,SGD_adaptive,False,0.001,10,NA,-296.40704345703125,-299.61147493096297,-296.16679168307303
128,bernoulli_1,1,SGD_adaptive,False,0.01,10,NA,-299.0710754394531,-299.61147493096297,-296.16679168307303
129,bernoulli_1,1,SGD_adaptive,False,0.1,10,NA,-296.166748046875,-299.61147493096297,-296.16679168307303
130,bernoulli_1,1,SGD_with_Momentum,True,1e-05,10,0.1,-261.5806579589844,-299.61147493096297,-296.16679168307303
131,bernoulli_1,1,SGD_with_Momentum,True,0.0001,10,0.1,-265.3902587890625,-299.61147493096297,-296.16679168307303
132,bernoulli_1,1,SGD_with_Momentum,True,0.001,10,0.1,-274.327392578125,-299.61147493096297,-296.16679168307303
133,bernoulli_1,1,SGD_with_Momentum,True,0.01,10,0.1,-261.0358581542969,-299.61147493096297,-296.16679168307303
134,bernoulli_1,1,SGD_with_Momentum,True,0.1,10,0.1,-261.0358581542969,-299.61147493096297,-296.16679168307303
135,bernoulli_1,1,SGD_with_Momentum,False,1e-05,10,0.1,-296.29327392578125,-299.61147493096297,-296.16679168307303
136,bernoulli_1,1,SGD_with_Momentum,False,0.0001,10,0.1,-297.13665771484375,-299.61147493096297,-296.16679168307303
137,bernoulli_1,1,SGD_with_Momentum,False,0.001,10,0.1,-296.166748046875,-299.61147493096297,-296.16679168307303
138,bernoulli_1,1,SGD_with_Momentum,False,0.01,10,0.1,-296.166748046875,-299.61147493096297,-296.16679168307303
139,bernoulli_1,1,SGD_with_Momentum,False,0.1,10,0.1,-296.166748046875,-299.61147493096297,-296.16679168307303
140,bernoulli_1,1,Adagrad,True,1e-05,10,NA,-261.1145935058594,-299.61147493096297,-296.16679168307303
141,bernoulli_1,1,Adagrad,True,0.0001,10,NA,-261.7980651855469,-299.61147493096297,-296.16679168307303
142,bernoulli_1,1,Adagrad,True,0.001,10,NA,-266.86224365234375,-299.61147493096297,-296.16679168307303
143,bernoulli_1,1,Adagrad,True,0.01,10,NA,-276.7978515625,-299.61147493096297,-296.16679168307303
144,bernoulli_1,1,Adagrad,True,0.1,10,NA,-261.0358581542969,-299.61147493096297,-296.16679168307303
145,bernoulli_1,1,Adagrad,False,1e-05,10,NA,-296.17388916015625,-299.61147493096297,-296.16679168307303
146,bernoulli_1,1,Adagrad,False,0.0001,10,NA,-296.26300048828125,-299.61147493096297,-296.16679168307303
147,bernoulli_1,1,Adagrad,False,0.001,10,NA,-296.4896545410156,-299.61147493096297,-296.16679168307303
148,bernoulli_1,1,Adagrad,False,0.01,10,NA,-299.6320495605469,-299.61147493096297,-296.16679168307303
149,bernoulli_1,1,Adagrad,False,0.1,10,NA,-296.166748046875,-299.61147493096297,-296.16679168307303
150,bernoulli_1,1,Adam_sg,True,1e-05,10,NA,-264.3392639160156,-299.61147493096297,-296.16679168307303
151,bernoulli_1,1,Adam_sg,True,0.0001,10,NA,-274.308349609375,-299.61147493096297,-296.16679168307303
152,bernoulli_1,1,Adam_sg,True,0.001,10,NA,-261.0358581542969,-299.61147493096297,-296.16679168307303
153,bernoulli_1,1,Adam_sg,True,0.01,10,NA,-261.0358581542969,-299.61147493096297,-296.16679168307303
154,bernoulli_1,1,Adam_sg,True,0.1,10,NA,-261.0358581542969,-299.61147493096297,-296.16679168307303
155,bernoulli_1,1,Adam_sg,False,1e-05,10,NA,-297.04779052734375,-299.61147493096297,-296.16679168307303
156,bernoulli_1,1,Adam_sg,False,0.0001,10,NA,-298.1036071777344,-299.61147493096297,-296.16679168307303
157,bernoulli_1,1,Adam_sg,False,0.001,10,NA,-296.166748046875,-299.61147493096297,-296.16679168307303
158,bernoulli_1,1,Adam_sg,False,0.01,10,NA,-296.166748046875,-299.61147493096297,-296.16679168307303
159,bernoulli_1,1,Adam_sg,False,0.1,10,NA,-296.166748046875,-299.61147493096297,-296.16679168307303
160,bernoulli_1,1,Adam_full_batch,True,1e-05,10,NA,-261.05706787109375,-299.61147493096297,-296.16679168307303
161,bernoulli_1,1,Adam_full_batch,True,0.0001,10,NA,-261.2625427246094,-299.61147493096297,-296.16679168307303
162,bernoulli_1,1,Adam_full_batch,True,0.001,10,NA,-263.19500732421875,-299.61147493096297,-296.16679168307303
163,bernoulli_1,1,Adam_full_batch,True,0.01,10,NA,-273.7804870605469,-299.61147493096297,-296.16679168307303
164,bernoulli_1,1,Adam_full_batch,True,0.1,10,NA,-277.69952392578125,-299.61147493096297,-296.16679168307303
165,bernoulli_1,1,Adam_full_batch,False,1e-05,10,NA,-296.17626953125,-299.61147493096297,-296.16679168307303
166,bernoulli_1,1,Adam_full_batch,False,0.0001,10,NA,-296.2608337402344,-299.61147493096297,-296.16679168307303
167,bernoulli_1,1,Adam_full_batch,False,0.001,10,NA,-297.02520751953125,-299.61147493096297,-296.16679168307303
168,bernoulli_1,1,Adam_full_batch,False,0.01,10,NA,-299.65423583984375,-299.61147493096297,-296.16679168307303
169,bernoulli_1,1,Adam_full_batch,False,0.1,10,NA,-299.6209716796875,-299.61147493096297,-296.16679168307303
170,bernoulli_1,1,GD_c_l_rate,True,1e-05,10,NA,-263.64630126953125,-299.61147493096297,-296.16679168307303
171,bernoulli_1,1,GD_c_l_rate,True,0.0001,10,NA,-273.5342102050781,-299.61147493096297,-296.16679168307303
172,bernoulli_1,1,GD_c_l_rate,True,0.001,10,NA,-277.8782958984375,-299.61147493096297,-296.16679168307303
173,bernoulli_1,1,GD_c_l_rate,True,0.01,10,NA,-261.0358581542969,-299.61147493096297,-296.16679168307303
174,bernoulli_1,1,GD_c_l_rate,True,0.1,10,NA,-261.0358581542969,-299.61147493096297,-296.16679168307303
175,bernoulli_1,1,GD_c_l_rate,False,1e-05,10,NA,-296.6853942871094,-299.61147493096297,-296.16679168307303
176,bernoulli_1,1,GD_c_l_rate,False,0.0001,10,NA,-298.82867431640625,-299.61147493096297,-296.16679168307303
177,bernoulli_1,1,GD_c_l_rate,False,0.001,10,NA,-299.65936279296875,-299.61147493096297,-296.16679168307303
178,bernoulli_1,1,GD_c_l_rate,False,0.01,10,NA,-296.166748046875,-299.61147493096297,-296.16679168307303
179,bernoulli_1,1,GD_c_l_rate,False,0.1,10,NA,-296.166748046875,-299.61147493096297,-296.16679168307303
180,bernoulli_1,1,GD_scale_by_ep,True,1e-05,10,NA,-261.583740234375,-299.61147493096297,-296.16679168307303
181,bernoulli_1,1,GD_scale_by_ep,True,0.0001,10,NA,-265.70928955078125,-299.61147493096297,-296.16679168307303
182,bernoulli_1,1,GD_scale_by_ep,True,0.001,10,NA,-277.1866149902344,-299.61147493096297,-296.16679168307303
183,bernoulli_1,1,GD_scale_by_ep,True,0.01,10,NA,-261.0358581542969,-299.61147493096297,-296.16679168307303
184,bernoulli_1,1,GD_scale_by_ep,True,0.1,10,NA,-261.0358581542969,-299.61147493096297,-296.16679168307303
185,bernoulli_1,1,GD_scale_by_ep,False,1e-05,10,NA,-296.3019714355469,-299.61147493096297,-296.16679168307303
186,bernoulli_1,1,GD_scale_by_ep,False,0.0001,10,NA,-297.31195068359375,-299.61147493096297,-296.16679168307303
187,bernoulli_1,1,GD_scale_by_ep,False,0.001,10,NA,-299.6222229003906,-299.61147493096297,-296.16679168307303
188,bernoulli_1,1,GD_scale_by_ep,False,0.01,10,NA,-296.166748046875,-299.61147493096297,-296.16679168307303
189,bernoulli_1,1,GD_scale_by_ep,False,0.1,10,NA,-296.166748046875,-299.61147493096297,-296.16679168307303
190,bernoulli_1,1,SVRG,True,1e-05,10,NA,-261.5003356933594,-299.61147493096297,-296.16679168307303
191,bernoulli_1,1,SVRG,True,0.0001,10,NA,-265.20257568359375,-299.61147493096297,-296.16679168307303
192,bernoulli_1,1,SVRG,True,0.001,10,NA,-276.2283630371094,-299.61147493096297,-296.16679168307303
193,bernoulli_1,1,SVRG,True,0.01,10,NA,-262.6603088378906,-299.61147493096297,-296.16679168307303
194,bernoulli_1,1,SVRG,True,0.1,10,NA,-261.0358581542969,-299.61147493096297,-296.16679168307303
195,bernoulli_1,1,SVRG,False,1e-05,10,NA,-296.22698974609375,-299.61147493096297,-296.16679168307303
196,bernoulli_1,1,SVRG,False,0.0001,10,NA,-296.67449951171875,-299.61147493096297,-296.16679168307303
197,bernoulli_1,1,SVRG,False,0.001,10,NA,-298.85894775390625,-299.61147493096297,-296.16679168307303
198,bernoulli_1,1,SVRG,False,0.01,10,NA,-296.166748046875,-299.61147493096297,-296.16679168307303
199,bernoulli_1,1,SVRG,False,0.1,10,NA,-296.166748046875,-299.61147493096297,-296.16679168307303
200,bernoulli_1,2,SGD_c_l_rate,True,1e-05,10,NA,-257.1493225097656,-316.61257618713086,-311.6397341953441
201,bernoulli_1,2,SGD_c_l_rate,True,0.0001,10,NA,-267.553466796875,-316.61257618713086,-311.6397341953441
202,bernoulli_1,2,SGD_c_l_rate,True,0.001,10,NA,-264.81707763671875,-316.61257618713086,-311.6397341953441
203,bernoulli_1,2,SGD_c_l_rate,True,0.01,10,NA,-254.28512573242188,-316.61257618713086,-311.6397341953441
204,bernoulli_1,2,SGD_c_l_rate,True,0.1,10,NA,-254.28512573242188,-316.61257618713086,-311.6397341953441
205,bernoulli_1,2,SGD_c_l_rate,False,1e-05,10,NA,-312.4783630371094,-316.61257618713086,-311.6397341953441
206,bernoulli_1,2,SGD_c_l_rate,False,0.0001,10,NA,-315.06707763671875,-316.61257618713086,-311.6397341953441
207,bernoulli_1,2,SGD_c_l_rate,False,0.001,10,NA,-311.6397399902344,-316.61257618713086,-311.6397341953441
208,bernoulli_1,2,SGD_c_l_rate,False,0.01,10,NA,-311.6397399902344,-316.61257618713086,-311.6397341953441
209,bernoulli_1,2,SGD_c_l_rate,False,0.1,10,NA,-311.6397399902344,-316.61257618713086,-311.6397341953441
210,bernoulli_1,2,SGD_scale_by_ep,True,1e-05,10,NA,-254.83326721191406,-316.61257618713086,-311.6397341953441
211,bernoulli_1,2,SGD_scale_by_ep,True,0.0001,10,NA,-258.65966796875,-316.61257618713086,-311.6397341953441
212,bernoulli_1,2,SGD_scale_by_ep,True,0.001,10,NA,-267.41375732421875,-316.61257618713086,-311.6397341953441
213,bernoulli_1,2,SGD_scale_by_ep,True,0.01,10,NA,-268.3507385253906,-316.61257618713086,-311.6397341953441
214,bernoulli_1,2,SGD_scale_by_ep,True,0.1,10,NA,-265.1766662597656,-316.61257618713086,-311.6397341953441
215,bernoulli_1,2,SGD_scale_by_ep,False,1e-05,10,NA,-311.82244873046875,-316.61257618713086,-311.6397341953441
216,bernoulli_1,2,SGD_scale_by_ep,False,0.0001,10,NA,-313.0641784667969,-316.61257618713086,-311.6397341953441
217,bernoulli_1,2,SGD_scale_by_ep,False,0.001,10,NA,-311.6397399902344,-316.61257618713086,-311.6397341953441
218,bernoulli_1,2,SGD_scale_by_ep,False,0.01,10,NA,-311.6397399902344,-316.61257618713086,-311.6397341953441
219,bernoulli_1,2,SGD_scale_by_ep,False,0.1,10,NA,-311.6397399902344,-316.61257618713086,-311.6397341953441
